,A1,A2,A3,a,b,Ra,R3,V
47,33.0,14.0,-37.0,8.8,6.2,-2.1,8.81519627596288,480.9571088165348
48,33.0,14.0,-37.0,8.2,6.0,-1.7,8.979646701569504,441.79861771721954
49,33.0,14.0,-37.0,8.4,6.0,-1.8,8.927886500899367,449.9654796453282
50,33.0,14.0,-37.0,8.6,6.0,-2.0,8.911975983977776,459.8579607732532
51,33.0,14.0,-37.0,8.8,6.0,-2.2,8.890162509936157,469.40058052462916
52,33.0,14.0,-37.0,8.2,5.8,-1.7,9.013443802004137,428.67938722331667
53,33.0,14.0,-37.0,8.4,5.8,-1.9,8.998272402077976,438.39583142923897
54,33.0,15.0,-38.0,8.2,6.4,-1.6,8.850868796197531,464.4935944244464
55,33.0,15.0,-38.0,8.4,6.4,-1.8,8.772694062419413,471.6200327956677
56,33.0,15.0,-38.0,8.6,6.4,-2.0,8.755586785264718,481.9074966609701
57,33.0,15.0,-38.0,8.8,6.4,-2.2,8.731842661474758,491.77737869425846
58,33.0,15.0,-38.0,8.2,6.2,-1.7,8.878446494661471,451.38021978858916
59,33.0,15.0,-38.0,8.4,6.2,-1.9,8.862417655013418,461.5547114730989
60,33.0,15.0,-38.0,8.6,6.2,-2.1,8.861788139720137,472.5105436098777
61,33.0,15.0,-38.0,8.8,6.2,-2.2,8.840206117298063,482.3216457597824
62,33.0,15.0,-38.0,8.2,6.0,-1.7,8.97239071205956,441.44162303333036
63,33.0,15.0,-38.0,8.4,6.0,-1.9,8.95721143499037,451.4434563235147
64,33.0,15.0,-38.0,8.2,5.8,-1.8,9.041811919687644,430.0285749003443
65,33.0,15.0,-38.0,8.4,5.8,-2.0,9.021770230242716,439.54064561742507
66,33.0,16.0,-39.0,8.2,6.4,-1.7,8.820533224511621,462.90158362236986
67,33.0,16.0,-39.0,8.4,6.4,-1.9,8.804382055637308,473.32357931106174
68,33.0,16.0,-39.0,8.6,6.4,-2.1,8.781707204273541,483.3451645232157
69,33.0,16.0,-39.0,8.8,6.4,-2.3,8.752220556114139,492.92506172034837
70,33.0,16.0,-39.0,8.2,6.2,-1.8,8.908912063115837,452.9290892888091
71,33.0,16.0,-39.0,8.4,6.2,-2.0,8.887652393995042,462.8689366792618
72,33.0,16.0,-39.0,8.6,6.2,-2.2,8.871865225722363,473.0478538355164
73,33.0,16.0,-39.0,8.8,6.2,-2.3,8.860062499201401,483.40500995642856
74,33.0,16.0,-39.0,8.2,6.0,-1.9,8.997546875113995,442.67930625560854
75,33.0,16.0,-39.0,8.4,6.0,-2.0,8.981643651650423,452.67484004318135
76,33.0,16.0,-39.0,8.2,5.8,-1.9,9.065500530679554,431.15520523911954
77,33.0,16.0,-39.0,8.4,5.8,-2.1,9.040596139497165,440.45784391630184
